run_name	upload_status	result_tar_size_bytes	result_tar_path	hf_repo_id	hf_path	hf_url	remote_stage_dir	result_tar_mtime_epoch	stage_mtime_epoch	slurm_logs	sha256
dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_fps_xpu_v2_20260617_0225	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_fps_xpu_v2_20260617_0225	0	1781650655	slurm-1669688.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_fps_xpu_v2_20260617_0224	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_fps_xpu_v2_20260617_0224	0	1781650655	slurm-1669687.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_fps_xpu_v1_20260617_0205	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_fix_fps_xpu_v1_20260617_0205	0	1781633056	slurm-1669677.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_fps_xpu_v1_20260617_0203	no_result_tar	0		ZJ4433MR/recap-sim-l40-artifacts			/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_positive_collect_fix_fps_xpu_v1_20260617_0203	0	1781633016	slurm-1669676.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_zjtoken_v3_20260616_152644	pending_repo_write_access	374341632	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_zjtoken_v3_20260616_152644/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_zjtoken_v3_20260616_152644/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_zjtoken_v3_20260616_152644/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_zjtoken_v3_20260616_152644	1781624122	1781624076	slurm-1668669.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_faithful_zjtoken_v5_20260616_150841	pending_repo_write_access	27446	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_faithful_zjtoken_v5_20260616_150841/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_A_faithful_zjtoken_v5_20260616_150841/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_A_faithful_zjtoken_v5_20260616_150841/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_faithful_zjtoken_v5_20260616_150841	1781608691	1781608691	slurm-1668652.out	not_computed
dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_resume_infer_l40_v6	pending_repo_write_access	3739060508	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_resume_infer_l40_v6/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_resume_infer_l40_v6/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_resume_infer_l40_v6/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_p2_pistar06_value_acp_recovery_bert_public_lm_resume_infer_l40_v6	1781587999	1781587641	slurm-1667942.out	not_computed
dexjoco_click_mouse_evorl_lerobot_A_faithful_v4_20260616_121011	pending_repo_write_access	28324	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_faithful_v4_20260616_121011/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_A_faithful_v4_20260616_121011/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_A_faithful_v4_20260616_121011/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_A_faithful_v4_20260616_121011	1781586121	1781586121	slurm-1668356.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_v2_20260616_121355	pending_repo_write_access	28248	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_v2_20260616_121355/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_v2_20260616_121355/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_v2_20260616_121355/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_v2_20260616_121355	1781585974	1781585974	slurm-1668361.out	not_computed
dexjoco_click_mouse_evorl_lerobot_B_base_collect_20260616_113725	pending_repo_write_access	1172	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_20260616_113725/results.tar.gz	ZJ4433MR/recap-sim-l40-artifacts	artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_20260616_113725/results.tar.gz	https://huggingface.co/datasets/ZJ4433MR/recap-sim-l40-artifacts/resolve/main/artifacts/dexjoco_click_mouse_evorl_lerobot_B_base_collect_20260616_113725/results.tar.gz	/share/home/u23133/.cache/recap-sim-l40-stage/dexjoco_click_mouse_evorl_lerobot_B_base_collect_20260616_113725	1781581453	1781581453	slurm-1668345.out	not_computed
